caption,url,score,cosine_similarity,clip_logit,pos_sims,neg_sims
three eggs with cover on white background and shadow royalty illustration,https://thumbs.dreamstime.com/b/3-sphere-white-7575683.jpg,0.1300589014072588,0.26500898599624634,26.500900268554688,0.6199518983377501,0.4898929969304912
blue eggs on a white background royalty illustration,https://thumbs.dreamstime.com/b/easter-colored-egg-style-stone-self-color-egg-grunge-bright-color-happy-easter-easter-colored-egg-style-144692917.jpg,0.1290792461798022,0.30550622940063477,30.55062484741211,0.6485809015860782,0.5195016554062759
"three colored eggs in a nest on a dark background, close up view, shallow focus stock photos",https://thumbs.dreamstime.com/b/four-easter-eggs-hay-black-background-close-up-isolated-holiday-photography-173828062.jpg,0.1290556317476696,0.2951107919216156,29.51108169555664,0.5770122135773973,0.4479565818297276
a blue tray of eggs on white background,http://l7.alamy.com/zooms/b8f71360ccd248c3865dc08c32ef8433/eggs-in-a-carton-isolated-on-a-white-background-cp79dt.jpg,0.1246785221366605,0.3178892731666565,31.788928985595703,0.7069961769984702,0.5823176548618096
three white eggs are in a glass bowl on the table stock photos,https://thumbs.dreamstime.com/b/raw-white-eggs-glass-bowl-water-raw-eggs-bowl-water-125504012.jpg,0.1170466612912495,0.3040536344051361,30.405364990234375,0.6067730213300969,0.4897263600388473
white eggs with funny faces on blue background stock images,https://thumbs.dreamstime.com/b/funny-white-egg-face-egg-cell-easter-background-egg-eyes-mouth-funny-chicken-white-eggs-faces-egg-142605092.jpg,0.1108417412437117,0.27937251329421997,27.937253952026367,0.6167758666559281,0.5059341254122164
a boiled egg and two raw brown eggs on white background with space for text stock photography,https://thumbs.dreamstime.com/b/two-brown-eggs-there-was-one-egg-broken-half-yolk-inside-eggshell-whites-flowing-white-background-174200214.jpg,0.1068343975722513,0.33167558908462524,33.16756057739258,0.6631774285590338,0.5563430309867825
"golden eggs on a black background, vector illustration stock illustration",https://thumbs.dreamstime.com/b/set-gold-black-easter-egg-pattern-hand-vector-illustration-isolated-black-background-cover-design-print-set-168452853.jpg,0.1049097710710527,0.278288334608078,27.82883644104004,0.5570143705531293,0.4521045994820766
a dozen dozen eggs in an egg carton,https://static1.squarespace.com/static/57a89cfc1b631b6aa482a2f7/t/592b72a51e5b6ca26e40b2eb/1496019637410/,0.1030258130114084,0.2986348569393158,29.863487243652344,0.6887181934793958,0.5856923804679873
a single golden egg sitting in a crowded group of white eggs,http://l7.alamy.com/zooms/6f57ab530a6e4e7dba3687bad792d40a/golden-egg-among-white-eggs-as-the-unique-and-individual-odd-one-out-f6xy64.jpg,0.0923336206005041,0.34612688422203064,34.61268997192383,0.6149696445290634,0.5226360239285593
